id,slug2,created_at,,,,,,
314,astellas-launches-xospata-gilteritinib-in-the-us-for-the-treatment-of-adult-patients-with-relapsedrefractory-acute-myeloid-leukemia-aml-with-a-flt3-mutation,12-12-2018 00:00,,,,,,
315,circassia-to-exercise-option-for-full-us-commercial-rights-to-copd-treatment-tudorza-from-astrazeneca,12-12-2018 00:00,,,,,,
316,johnson-johnson-announces-research-study-with-apple-watch-to-help-improve-afib-outcomes-including-stroke-prevention,18-01-2019 00:00,,,,,,
317,biomed-x-and-boehringer-ingelheim-to-investigate-early-intervention-in-psychiatric-diseases,18-01-2019 00:00,,,,,,
318,ironwood-pharmaceuticals-announces-approval-of-linzess-linaclotide-in-china-for-the-treatment-of-adults-with-ibs-c,16-01-2019 00:00,,,,,,
319,national-institutes-of-health-launches-fitbit-project-as-first-digital-health-technology-initiative-in-landmark-all-of-us-research-program,17-01-2019 00:00,,,,,,
320,luye-pharma-reaches-strategic-partnership-with-astrazeneca-strengthens-commitment-to-cardiovascular-therapeutic-field-luye-pharma-grants-astrazeneca-exclusives-rights-to-promote-xuezhikang-capsules-in-mainland-china,17-01-2019 00:00,,,,,,
321,roche-launches-upath-enterprise-software-with-improved-speed-performance-and-usability-for-digital-pathology,17-01-2019 00:00,,,,,,
322,abbott-to-acquire-cephea-valve-technologies-inc,17-01-2019 00:00,,,,,,
323,bioharmony-therapeutics-and-boehringer-ingelheim-collaborate-to-advance-bacteriophage-lysin-therapeutics-for-the-treatment-of-multi-drug-resistant-bacterial-infections,16-01-2019 00:00,,,,,,
324,beigene-receives-us-fda-breakthrough-therapy-designation-for-zanubrutinib-in-mantle-cell-lymphoma,16-01-2019 00:00,,,,,,
325,biomunex-pharmaceuticals-signs-a-licensing-agreement-with-sanofi-for-the-development-of-bi-and-multi-specific-antibodies,16-01-2019 00:00,,,,,,
326,fda-approves-worlds-first-device-for-treatment-of-premature-babies-and-newborns-with-an-opening-in-their-hearts-a-common-congenital-defect,15-01-2019 00:00,,,,,,
327,bio-thera-solutions-ltd-partners-with-cipla-ltd-to-market-key-cancer-biosimilar,15-01-2019 00:00,,,,,,
328,array-biopharma-announces-153-months-median-overall-survival-from-the-safety-lead-in-of-the-phase-3-beacon-crc-trial-of-the-combination-braftovi-mektovi-and-erbitux-in-braf-mutant-metastatic-colorectal-cancer,15-01-2019 00:00,,,,,,
329,exelixis-announces-us-fda-approval-of-cabometyx-cabozantinib-tablets-for-previously-treated-hepatocellular-carcinoma,15-01-2019 00:00,,,,,,
330,european-commission-approves-opdivo-nivolumab-plus-low-dose-yervoy-ipilimumab-for-first-line-treatment-of-patients-with-intermediate-and-poor-risk-advanced-renal-cell-carcinoma,15-01-2019 00:00,,,,,,
331,ascletis-and-alphamab-announce-strategic-collaboration-and-licensing-agreement-for-anti-pd-l1-to-treat-hepatitis-b-and-other-viral-diseases,14-01-2019 00:00,,,,,,
332,tium-bio-licenses-out-lung-disease-drug-candidate-for-us74-million,14-01-2019 00:00,,,,,,
333,puma-biotechnology-and-knight-therapeutics-enter-into-exclusive-license-agreement-to-commercialize-nerlynx-neratinib-in-canada,14-01-2019 00:00,,,,,,
335,ema-grants-orphan-drug-designation-to-rafael-pharmaceuticals-devimistat-cpi-613-for-treatment-of-patients-with-relapsed-or-refractory-acute-myeloid-leukemia-aml,11-01-2019 00:00,,,,,,
336,glenmark-pharmaceuticals-enters-into-an-exclusive-licensing-agreement-with-yuhan-corporation-for-commercializing-investigational-seasonal-allergic-rhinitis-nasal-spray-ryaltris-in-south-korea,11-01-2019 00:00,,,,,,
337,sumitomo-dainippon-pharma-announces-positive-topline-results-from-a-phase-iii-clinical-study-jewel-study-of-lurasidone-an-atypical-antipsychotic-agent-in-the-treatment-of-patients-with-schizophrenia,11-01-2019 00:00,,,,,,
338,empaticas-pediatric-seizure-predicting-smartband-wins-fda-nod,10-01-2019 00:00,,,,,,
339,elevian-and-insilico-enter-a-research-collaboration-to-discover-drugs-that-target-aging,10-01-2019 00:00,,,,,,
340,new-england-journal-of-medicine-publishes-positive-results-of-the-pivotal-trial-of-cablivi-caplacizumab-for-rare-blood-clotting-disorder,10-01-2019 00:00,,,,,,
341,immunogen-announces-sale-of-residual-kadcyla-royalties,09-01-2019 00:00,,,,,,
342,janssen-submits-application-to-european-medicines-agency-seeking-approval-of-stelara-ustekinumab-for-treatment-of-adult-patients-with-moderately-to-severely-active-ulcerative-colitis,09-01-2019 00:00,,,,,,
343,exelixis-collaborator-daiichi-sankyo-receives-regulatory-approval-for-minnebro-esaxerenone-tablets-for-the-treatment-of-hypertension-in-japan,09-01-2019 00:00,,,,,,
344,evenity-subcutaneous-injection-105mg-syringe-receives-the-first-in-the-world-approval-in-japan-for-the-treatment-of-osteoporosis-at-high-risk-of-fracture,09-01-2019 00:00,,,,,,
345,samsung-bioepis-partners-with-3sbio-to-expand-biosimilar-business-into-china,08-01-2019 00:00,,,,,,
346,lilly-announces-agreement-to-acquire-loxo-oncology,08-01-2019 00:00,,,,,,
347,novartis-investigational-therapy-crizanlizumab-seg101-receives-fda-breakthrough-therapy-designation-for-the-prevention-of-vaso-occlusive-crises-in-sickle-cell-disease,08-01-2019 00:00,,,,,,
348,merck-exercises-option-for-ngm-bios-investigational-insulin-sensitizer-ngm313-for-the-treatment-of-nash-and-type-2-diabetes,04-01-2019 00:00,,,,,,
349,boehringer-ingelheim-and-vanderbilt-university-announce-partnership-to-develop-novel-therapies-for-psychiatric-disorders,04-01-2019 00:00,,,,,,
350,esperion-announces-agreement-with-daiichi-sankyo-europe-dse-to-commercialize-bempedoic-acid-in-europe,04-01-2019 00:00,,,,,,
351,mercks-keytruda-pembrolizumab-receives-five-new-approvals-in-japan-including-in-advanced-non-small-cell-lung-cancer-nsclc-as-adjuvant-therapy-for-melanoma-and-in-advanced-microsatellite-instability-high-msi-h-tumors,03-01-2019 00:00,,,,,,
352,bristol-myers-squibb-to-acquire-celgene-to-create-a-premier-innovative-biopharma-company,03-01-2019 00:00,,,,,,
353,progenics-and-curium-announce-european-collaboration-for-prostate-cancer-imaging-agent-pyl,03-01-2019 00:00,,,,,,
354,aprinoia-therapeutics-licenses-tau-pet-imaging-tracer-apn-1607-to-celgene,03-01-2019 00:00,,,,,,
355,bristol-myers-squibbs-sprycel-dasatinib-tablets-now-approved-in-combination-with-chemotherapy-in-certain-pediatric-patients-with-philadelphia-chromosome-positive-acute-lymphoblastic-leukemia,03-01-2019 00:00,,,,,,
356,adsing-multimedia-teva-announces-fda-approval-of-first-and-only-digital-inhaler-with-built-in-sensors-?-proair?-digihaler?-albuterol-sulfate-117-mcg-inhalation-powder,31-12-2018 00:00,,,,,,
357,inventisbio-and-betta-pharma-to-co-develop-novel-drug-for-non-small-cell-lung-cancer,31-12-2018 00:00,,,,,,
358,fda-approves-elzonris-tagraxofusp-the-first-treatment-for-blastic-plasmacytoid-dendritic-cell-neoplasm-and-first-cd123-targeted-therapy,31-12-2018 00:00,,,,,,
359,fda-approves-vaxelis-sanofi-and-msd?s-pediatric-hexavalent-combination-vaccine,29-12-2018 00:00,,,,,,
360,horizon-pharma-plc-announces-fda-approval-to-expand-the-age-range-for-ravicti-glycerol-phenylbutyrate-oral-liquid-to-include-newborns,28-12-2018 00:00,,,,,,
361,innovent-lilly-co-developed-tyvyt-gets-chinas-nmpa-approval-for-chl,28-12-2018 00:00,,,,,,
362,jhl-biotech-announces-first-patient-randomized-in-the-phase-iii-study-of-jhl1101-to-treat-diffuse-large-b-cell-lymphoma,28-12-2018 00:00,,,,,,
363,merck-and-pfizer-provide-update-on-javelin-ovarian-100-trial-of-avelumab-in-previously-untreated-advanced-ovarian-cancer,28-12-2018 00:00,,,,,,
364,lupin-and-abbvie-announce-partnership-to-develop-and-commercialize-novel-oncology-drug-to-treat-hematological-cancers,27-12-2018 00:00,,,,,,
365,alexion-receives-early-fda-approval-for-ultomiri-ravulizumab-cwvz-in-adults-with-paroxysmal-nocturnal-hemoglobinuria-pnh,27-12-2018 00:00,,,,,,
366,zydus-receives-approvals-from-the-usfda-for-doxycycline-hyclate-delayed-release-tablets-and-febuxostat-tablets,27-12-2018 00:00,,,,,,
367,fda-approves-merck?s-keytruda-pembrolizumab-for-the-treatment-of-adult-and-pediatric-patients-with-recurrent-locally-advanced-or-metastatic-merkel-cell-carcinoma-a-rare-form-of-skin-cancer,20-12-2018 00:00,,,,,,
368,bristol-myers-squibb-announces-offer-from-taisho-pharmaceutical-holdings-co-ltd-to-purchase-upsa,20-12-2018 00:00,,,,,,
369,lynparza-olaparib-approved-by-fda-for-first-line-maintenance-therapy-in-brca-mutated-advanced-ovarian-cancer-astrazeneca-and-merck?s-lynparza-reduced-the-risk-of-disease-progression-or-death-by-70-percent-compared-to-placebo-following-response-to-platinum-based-chemotherapy-first-parp-inhibitor-approved-in-first-line-maintenance-for-brcam-advanced-ovarian-cancer,20-12-2018 00:00,,,,,,
370,albireo-granted-orphan-designation-by-european-commission-for-lead-product-candidate-a4250-for-treatment-of-biliary-atresia,19-12-2018 00:00,,,,,,
371,boston-scientific-announces-recommended-offer-to-acquire-btg-plc,19-12-2018 00:00,,,,,,
372,alcon-announces-acquisition-of-tear-film-innovations-inc,19-12-2018 00:00,,,,,,
373,lilly-and-aduro-biotech-announce-research-collaboration-and-license-agreement-to-develop-novel-immunotherapies,19-12-2018 00:00,,,,,,
374,amgen-and-molecular-partners-announce-strategic-collaboration-in-immuno-oncology,19-12-2018 00:00,,,,,,
375,bristol-myers-squibb-receives-positive-chmp-opinion-recommending-sprycel-dasatinib-for-pediatric-patients-with-newly-diagnosed-philadelphia-chromosome-positive-acute-lymphoblastic-leukemia,18-12-2018 00:00,,,,,,
376,ligand-acquires-milestone-and-royalty-rights-to-ptx-022-from-palvella-therapeutics,18-12-2018 00:00,,,,,,
377,european-commission-approves-merck?s-keytruda-pembrolizumab-as-adjuvant-therapy-for-adults-with-resected-stage-iii-melanoma,18-12-2018 00:00,,,,,,
378,lilly-to-acquire-pre-clinical-pain-program-from-hydra-biosciences,17-12-2018 00:00,,,,,,
379,merck-to-acquire-privately-held-antelliq-group,17-12-2018 00:00,,,,,,
380,merck-to-acquire-privately-held-antelliq-group,17-12-2018 00:00,,,,,,
381,novartis-receives-european-commission-approval-for-self-administration-of-xolair-across-all-indications,14-12-2018 00:00,,,,,,
382,health-canada-grants-market-authorization-for-orkambi?-lumacaftorivacaftor-for-children-with-cystic-fibrosis-aged-2-to-5-years-old-with-most-common-form-of-the-disease,14-12-2018 00:00,,,,,,
383,axovant-licenses-investigational-gene-therapies-for-gm1-gangliosidosis-tay-sachs-and-sandhoff-diseases-from-university-of-massachusetts-medical-school,14-12-2018 00:00,,,,,,
384,fda-grants-fast-track-designation-to-the-baricitinib-development-program-for-the-treatment-of-systemic-lupus-erythematosus-sle,14-12-2018 00:00,,,,,,
385,fda-approves-vaxelis-sanofi-and-msd?s-pediatric-hexavalent-combination-vaccine,13-12-2018 00:00,,,,,,
386,lilly-and-ac-immune-announce-license-and-collaboration-agreement,13-12-2018 00:00,,,,,,
387,merck-and-instituto-butantan-announce-collaboration-agreement-to-develop-vaccines-to-protect-against-dengue-infections,13-12-2018 00:00,,,,,,
388,oxford-biotherapeutics-expands-strategic-collaboration-with-wuxi-biologics-and-licenses-wuxibody?-platform-for-five-bispecific-antibody-programs-for-up-to-450-million,13-12-2018 00:00,,,,,,
389,cormedix-inc-announces-highly-statistically-significant-topline-results-for-neutrolin?-from-the-interim-analysis-of-the-phase-3-lock-it-100-study,18-01-2019 00:00,,,,,,
390,thyas-obtains-exclusive-rights-to-manufacture-induced-pluripotent-stem-cells-derived-killer-t-cells-for-autologous-immunotherapy,18-01-2019 00:00,,,,,,
391,us-fda-approves-ontruzant-trastuzumab-dttb-samsung-bioepis?-first-oncology-medicine-in-the-united-states,21-01-2019 00:00,,,,,,
392,vertex-announces-european-commission-approval-for-orkambi-lumacaftorivacaftor-for-treatment-of-children-with-cystic-fibrosis-aged-2-to-5-years-old-with-most-common-form-of-the-disease,21-01-2019 00:00,,,,,,
393,obsidian-therapeutics-announces-strategic-collaboration-with-celgene-to-develop-novel-cell-therapies-with-tunable-immunomodulatory-factors-opening-potential-for-car-t-and-other-cellular-medicines-in-new-settings,21-01-2019 00:00,,,,,,
394,sandoz-canada-receives-health-canada-approval-for-erelzi-etanercept-in-the-treatment-of-psoriatic-arthritis-psa-in-adult-patients,22-01-2019 00:00,,,,,,
395,verily-study-watch-receives-fda-510k-clearance-for-ecg,22-01-2019 00:00,,,,,,
396,lilly-phase-3-reach-2-trial-data-published-in-the-lancet-oncology-shows-improvement-in-overall-survival-with-cyramza?-ramucirumab-in-second-line-afp-high-hepatocellular-carcinoma-patients,22-01-2019 00:00,,,,,,
397,crispr-therapeutics-and-probiogen-sign-collaboration-and-license-agreement-to-develop-novel-in-vivo-delivery-technologies,22-01-2019 00:00,,,,,,
398,lilly-reports-results-of-phase-3-soft-tissue-sarcoma-study-of-lartruvo,22-01-2019 00:00,,,,,,
399,european-commission-approves-blincyto-blinatumomab-in-patients-with-philadelphia-chromosome-negative-minimal-residual-disease-positive-b-cell-precursor-acute-lymphoblastic-leukemia,23-01-2019 00:00,,,,,,
400,albireo-granted-orphan-drug-designation-by-fda-for-lead-product-candidate-a4250-for-treatment-of-biliary-atresia,23-01-2019 00:00,,,,,,
401,klaria-signs-exclusive-development-agreement-with-purdue-pharma-for-acute-adrenaline-treatment-of-allergic-reaction,23-01-2019 00:00,,,,,,
402,ema-grants-orphan-drug-designation-to-tlc178-for-the-treatment-of-soft-tissue-sarcoma,23-01-2019 00:00,,,,,,
403,abbott-offers-a-new-option-for-physicians-treating-patients-with-atrial-fibrillation,23-01-2019 00:00,,,,,,
404,b-mogen-biotechnologies-and-cytosen-therapeutics-partner-on-research-collaboration-to-develop-next-generation-natural-killer-cells-for-human-therapeutics,24-01-2019 00:00,,,,,,
405,athersys-announces-positive-results-from-its-exploratory-clinical-study-of-multistem?-cell-therapy-for-treatment-of-acute-respiratory-distress-syndrome-ards,24-01-2019 00:00,,,,,,
406,rigel-pharmaceuticals-enters-collaboration-and-license-agreement-with-grifols-sa-to-commercialize-fostamatinib-in-europe,24-01-2019 00:00,,,,,,
407,23andme-receives-fda-clearance-for-genetic-health-risk-report-that-looks-at-a-hereditary-colorectal-cancer-syndrome,24-01-2019 00:00,,,,,,
408,philogen-announces-collaboration-with-celgene,24-01-2019 00:00,,,,,,
409,govt-may-fix-trade-margins-on-expensive-orphan-cancer-drugs,25-01-2019 00:00,,,,,,
410,q-biomed-technology-partner-mannin-research-enters-into-collaboration-with-mcmaster-university-for-glaucoma-drug-candidate-man-01,28-01-2019 00:00,,,,,,
411,merck-grants-exclusive-license-to-vertex-for-two-dna-damage-response-inhibitors,28-01-2019 00:00,,,,,,
412,medtronic-to-acquire-epix-therapeutics-expanding-its-cardiac-ablation-portfolio,28-01-2019 00:00,,,,,,
413,clovis-oncology-announces-european-commission-authorization-of-rubraca-rucaparib-tablets-as-maintenance-treatment-for-women-with-relapsed-ovarian-cancer,25-01-2019 00:00,,,,,,
414,dr-reddys-laboratories-and-its-us-subsidiary-promius-pharma-announce-fda-approval-for-tosymra?-sumatriptan-nasal-spray-10-mg-in-the-us-market,28-01-2019 00:00,,,,,,
415,amgen-receives-nmpa-approval-for-repatha-evolocumab-in-china-to-reduce-the-risk-of-cardiovascular-events,24-01-2019 00:00,,,,,,
416,basilea-announces-collaboration-to-study-derazantinib-and-atezolizumab-tecentriq?-in-urothelial-cancer,25-01-2019 00:00,,,,,,
417,amgen-and-allergan-announce-positive-top-line-results-from-phase-1-phase-3-study-of-abp-798-biosimilar-candidate-to-rituximab,24-01-2019 00:00,,,,,,
418,zimmer-biomet-receives-fda-clearance-for-rosa-knee-system-for-robotically-assisted-surgeries,28-01-2019 00:00,,,,,,
419,abbvie-announces-us-fda-approval-of-imbruvica-ibrutinib-plus-obinutuzumab-gazyva?-?-first-chemotherapy-free-anti-cd20-combination-regimen-approved-for-chronic-lymphocytic-leukemiasmall-lymphocytic-lymphoma-cllsll-in-previously-untreated-patients,28-01-2019 00:00,,,,,,
420,alexion-announces-positive-top-line-results-from-phase-3-study-of-ultomiris?-ravulizumab-cwvz-in-complement-inhibitor-na?ve-patients-with-atypical-hemolytic-uremic-syndrome-ahus,29-01-2019 00:00,,,,,,
421,purdue-pharma-lp-and-alivio-therapeutics-enter-into-partnership-to-advance-alv-107-a-non-opioid-interstitial-cystitisbladder-pain-syndrome-treatment,29-01-2019 00:00,,,,,,
422,nmpa-accepts-new-drug-application-for-ibi-305-a-biosimilar-product-candidate-of-bevacizumab-avastin?,29-01-2019 00:00,,,,,,
423,health-canada-grants-market-authorization-for-kalydeco-ivacaftor-in-children-ages-12-to,29-01-2019 00:00,,,,,,
424,medtronic-announces-us-commercial-launch-of-mazor-x-stealthtm-edition-for-robotic-assisted-spine-surgery,29-01-2019 00:00,,,,,,
425,priority-review-granted-to-zai-lab?s-nda-application-for-zejula-niraparib-in-china,29-01-2019 00:00,,,,,,
426,pfizer-and-lilly-announce-top-line-results-from-second-phase-3-study-of-tanezumab-in-osteoarthritis-pain,30-01-2019 00:00,,,,,,
427,takeda?s-dengue-vaccine-candidate-meets-primary-endpoint-in-pivotal-phase-3-efficacy-trial,30-01-2019 00:00,,,,,,
428,sumitomo-dainippon-pharma-announces-the-approval-of-atypical-antipsychotic-latuda?-lurasidone-hcl-for-the-treatment-of-patients-with-schizophrenia-in-china,30-01-2019 00:00,,,,,,
429,key-eu-medicines-regulator-closes-london-office-with-loss-of-900-jobs,30-01-2019 00:00,,,,,,
430,neurocrine-biosciences-and-voyager-therapeutics-form-strategic-development-and-commercialization-collaboration-for-parkinson?s-disease-and-friedreich?s-ataxia,30-01-2019 00:00,,,,,,
431,roche-to-discontinue-phase-iii-cread-1-and-2-clinical-studies-of-crenezumab-in-early-alzheimer?s-disease-ad-?-other-company-programmes-in-ad-continue,31-01-2019 00:00,,,,,,
432,us-fda-approves-lumoxiti-moxetumomab-pasudotox-tdfk-for-certain-patients-with-relapsed-or-refractory-hairy-cell-leukaemia,14-09-2018 00:00,,,,,,
433,fda-approves-subcutaneous-formulation-of-actemra-for-use-in-active-systemic-juvenile-idiopathic-arthritis-sjia-a-rare-form-of-juvenile-arthritis,14-09-2018 00:00,,,,,,
434,exelixis?-partner-ipsen-announces-health-canada?s-approval-of-cabometyx-cabozantinib-tablets-for-the-treatment-of-adults-with-previously-treated-advanced-renal-cell-carcinoma,20-09-2018 00:00,,,,,,
435,merck-receives-positive-chmp-opinion-for-delstrigo-doravirinelamivudinetenofovir-disoproxil-fumarate-and-pifeltro?-doravirine-in-the-european-union-for-the-treatment-of-hiv-1-infection,21-09-2018 00:00,,,,,,
436,coherus-biosciences-receives-european-commission-approval-for-udenyca-pegfilgrastim-biosimilar,26-09-2018 00:00,,,,,,
437,anaeropharma-science-signs-collaborative-research-agreement-with-astellas-on-creation-of-novel-anti-tumor-drugs-using-bifidobacterium,26-09-2018 00:00,,,,,,
438,i-mab-biopharma-expands-strategic-collaboration-with-wuxi-biologics-and-licenses-wuxibody?-platform-for-three-bispecific-antibody-programs,27-09-2018 00:00,,,,,,
439,fda-approves-libtayo-cemiplimab-rwlc-as-first-and-only-treatment-for-advanced-cutaneous-squamous-cell-carcinoma,01-10-2018 00:00,,,,,,
440,kite-and-hifibio-therapeutics-announce-a-research-collaboration-to-develop-technology-for-the-potential-discovery-of-neoantigen-reactive-t-cell-receptors-tcrs-for-the-treatment-of-cancer,03-10-2018 00:00,,,,,,
441,health-canada-approves-tresiba-for-children-with-type-1-diabetes,03-10-2018 00:00,,,,,,
442,eagle-pharmaceuticals-enters-into-agreement-with-usamricd-to-evaluate-neuroprotective-effects-of-ryanodex-secondary-to-nerve-agent-exposure,04-10-2018 00:00,,,,,,
443,xbrane-biopharma-tillk?nnager-resultat-fr?n-in-vivo-studie-som-p?visar-ekvivalent-tolerabilitet-och-farmakokinetisk-profil-f?r-xlucane-j?mf?rt-med-lucentis?,04-10-2018 00:00,,,,,,
444,meiragtx-announces-acquisition-of-vector-neurosciences-gains-phase-2-gene-therapy-program-for-parkinson?s-disease,10-10-2018 00:00,,,,,,
445,new-analyses-from-pivotal-phase-3-trials-of-oral-ozanimod-to-be-presented-at-ectrims-2018,11-10-2018 00:00,,,,,,
446,myriad-announces-new-laboratory-agreement-with-pfizer,12-10-2018 00:00,,,,,,
447,dr-reddys-laboratories-announces-the-sale-of-its-api-manufacturing-business-unit-in-jeedimetla-hyderabad,15-10-2018 00:00,,,,,,
448,themis-bioscience-announces-exclusive-licensing-agreement-with-max-planck-innovation-to-develop-and-commercialize-oncolytic-virotherapie,15-10-2018 00:00,,,,,,
449,myriad-announces-new-laboratory-agreement-with-pfizer,17-10-2018 00:00,,,,,,
450,mylan-launches-hulio-biosimilar-adalimumab-in-markets-across-europe,22-10-2018 00:00,,,,,,
451,mylan-and-biocon-announce-positive-chmp-opinion-for-ogivri-biosimilar-trastuzumab,22-10-2018 00:00,,,,,,
452,pfizer-presents-overall-survival-data-from-paloma-3-trial-of-ibrance-palbociclib-in-patients-with-hr-her2-metastatic-breast-cancer,22-10-2018 00:00,,,,,,
453,novartis-combi-ad-study-of-tafinlar-mekinist-continues-to-demonstrate-relapse-free-survival-benefit-in-patients-with-braf-v600-mutant-stage-iii-melanoma,22-10-2018 00:00,,,,,,
454,bimekizumab-showed-sustained-improvements-in-both-joint-and-skin-outcomes-for-psoriatic-arthritis-patients,24-10-2018 00:00,,,,,,
455,roche-announces-fda-approval-of-xofluza-baloxavir-marboxil-for-influenza,25-10-2018 00:00,,,,,,
456,medtronic-receives-fda-approval-for-valiant-navion-thoracic-stent-graft-system,26-10-2018 00:00,,,,,,
457,eylea-aflibercept-injection-improves-diabetic-retinopathy-and-reduces-vision-threatening-complications-in-phase-3-trial,26-10-2018 00:00,,,,,,
458,esperion-announces-completion-of-phase-3-ldl-c-lowering-development-program-of-bempedoic-acid-and-positive-cumulative-results,29-10-2018 00:00,,,,,,
459,lilly-and-dicerna-announce-rnai-licensing-and-research-collaboration,29-10-2018 00:00,,,,,,
460,g3-pharmaceuticals-signs-exclusive-license-and-option-agreement-for-treating-diastolic-heart-failure-hfpef-by-inhibiting-galectin-3,31-10-2018 00:00,,,,,,
461,gilead-sciences-and-tango-therapeutics-have-entered-into-a-global-collaboration-to-discover-develop-and-commercialize-a-pipeline-of-targeted-immuno-oncology-treatments-for-cancer,01-11-2018 00:00,,,,,,
462,sandoz-receives-us-fda-approval-for-biosimilar-hyrimoz?-adalimumab-adaz,01-11-2018 00:00,,,,,,
463,phase-iii-data-showed-that-venclextavenclyxto-plus-gazyvagazyvaro-reduced-the-risk-of-disease-worsening-or-death-in-people-with-previously-untreated-chronic-lymphocytic-leukaemia-with-co-morbidities,01-11-2018 00:00,,,,,,
464,roche-announces-eu-approval-of-venclyxto-plus-mabthera-for-people-with-previously-treated-chronic-lymphocytic-leukaemia,01-11-2018 00:00,,,,,,
465,sanofi-and-denali-therapeutics-to-develop-treatments-for-neurological-and-inflammatory-diseases,01-11-2018 00:00,,,,,,
466,vertex-announces-european-authorization-for-third-cystic-fibrosis-medicine-symkevi-tezacaftorivacaftor-to-be-used-in-combination-with-ivacaftor-kalydeco?-for-people-with-cf-aged-12-and-older-with-certain-mutations-in-the-cftr-gene,02-11-2018 00:00,,,,,,
467,aileron-therapeutics-announces-clinical-trial-collaboration-with-dana-farberboston-children?s-cancer-and-blood-disorders-center,02-11-2018 00:00,,,,,,
468,bioarctic?s-partner-abbvie-exercises-its-option-to-license-the-alpha-synuclein-antibody-portfolio-for-parkinson?s-disease,02-11-2018 00:00,,,,,,
469,illumina-to-acquire-pacific-biosciences-for-approximately-12-billion-broadening-access-to-long-read-sequencing-and-accelerating-scientific-discovery,02-11-2018 00:00,,,,,,
470,sage-therapeutics-announces-fda-advisory-committee-votes-17-1-in-support-of-benefit-risk-profile-of-zulresso-brexanolone-injection-for-treatment-of-postpartum-depression,05-11-2018 00:00,,,,,,
471,lilly-and-nextcure-announce-collaboration-to-discover-and-develop-novel-immuno-oncology-medicines,06-11-2018 00:00,,,,,,
472,amgen-announces-presentation-of-research-reinforcing-the-long-term-safety-and-efficacy-of-repatha?-evolocumab-in-high-risk-patients-at-aha-scientific-sessions-2018,06-11-2018 00:00,,,,,,
473,amgen-and-provention-bio-announce-co-development-collaboration-in-celiac-disease,05-11-2018 00:00,,,,,,
474,new-data-from-investigational-study-of-lenvima-lenvatinib-and-keytruda-pembrolizumab-combination-in-three-different-tumor-types-presented-at-the-society-for-immunotherapy-of-cancer?s-33rd-annual-meeting,12-11-2018 00:00,,,,,,
475,amgen-presents-results-highlighting-the-long-term-safety-and-efficacy-of-repatha-evolocumab-in-the-longest-duration-study-of-a-pcsk9-inhibitor-to-date-at-aha-scientific-sessions-2018,13-11-2018 00:00,,,,,,
476,novartis-announces-eu-approval-of-gilenya-for-children-and-adolescents-with-ms-making-it-the-first-and-only-oral-disease-modifying-treatment-for-these-patients-in-europe,30-11-2018 00:00,,,,,,
477,janssen-announces-erleada-apalutamide-phase-3-titan-study-unblinded-as-dual-primary-endpoints-achieved-in-clinical-program-evaluating-treatment-of-patients-with-metastatic-castration-sensitive-prostate-cancer,31-01-2019 00:00,,,,,,
478,merck-receives-breakthrough-therapy-designation-from-fda-for-v114-the-company?s-investigational-15-valent-conjugate-vaccine-for-the-prevention-of-invasive-pneumococcal-disease-in-infants-children-and-adolescents,31-01-2019 00:00,,,,,,
479,columbia-engineers-translate-brain-signals-directly-into-speech,31-01-2019 00:00,,,,,,
480,fda-expands-lillys-alimta-pemetrexed-label-with-combination-of-keytruda?-pembrolizumab-and-platinum-chemotherapy-for-the-first-line-treatment-of-metastatic-nonsquamous-non-small-cell-lung-cancer,31-01-2019 00:00,,,,,,
481,janssen-enters-worldwide-collaboration-and-license-agreement-with-meiragtx-to-develop-gene-therapy-programs-for-inherited-retinal-diseases,01-02-2019 00:00,,,,,,
482,bayer-and-kyoto-university-form-research-alliance-to-discover-new-treatment-approaches-against-lung-diseases,01-02-2019 00:00,,,,,,
483,alexion-and-caelum-biosciences-announce-collaboration-to-develop-targeted-therapy-for-light-chain-al-amyloidosis,01-02-2019 00:00,,,,,,
484,audentes-therapeutics-announces-next-steps-in-the-development-of-at132-to-treat-xlmtm-following-collaborative-initial-meeting-with-fda-under-rmat-designation,01-02-2019 00:00,,,,,,
485,repare-therapeutics-announces-a-strategic-partnership-agreement-with-ono-pharmaceutical-co-ltd-for-repare?s-pol-inhibitor-program-in-japan-and-selected-territories-in-asia,01-02-2019 00:00,,,,,,
486,fda-warns-patients-and-doctors-about-recall-of-home-use-test-strips-used-with-device-to-monitor-blood-thinner-warfarin-not-authorized-for-sale-in-us,04-02-2019 00:00,,,,,,
487,evolus-receives-fda-approval-for-jeuveau-prabotulinumtoxina-xvfs-for-injection,04-02-2019 00:00,,,,,,
488,nice-recommends-another-revolutionary-car-t-cell-therapy-for-adults-with-lymphoma,04-02-2019 00:00,,,,,,
489,european-medicines-agency-adopts-positive-opinion-for-merck?s-keytruda?-pembrolizumab-in-combination-with-chemotherapy-for-first-line-treatment-of-adults-with-metastatic-squamous-non-small-cell-lung-cancer-nsclc,04-02-2019 00:00,,,,,,
490,argenx-and-halozyme-enter-global-collaboration-and-license-agreement-for-enhanze-technology,05-02-2019 00:00,,,,,,
491,lilly-announces-top-line-phase-3-results-for-baricitinib-in-patients-with-moderate-to-severe-atopic-dermatitis,05-02-2019 00:00,,,,,,
492,biolinerx-receives-orphan-drug-designation-from-the-fda-for-its-lead-therapeutic-candidate-bl-8040-for-the-treatment-of-pancreatic-cancer,05-02-2019 00:00,,,,,,
