Title (News Shots),Categories,Date
Biotheus Enters into an Agreement with Alligator Bioscience to Develop Bispecific Molecules in Greater China,Biotech,21/8/2019
AstraZeneca Reports Results of Imfinzi (durvalumab) + Tremelimumab in P-III NEPTUNE Study for Stage IV Non-Small Cell Lung Cancer?,Biotech,21/8/2019
GSK Reports Submission of NDA to MHLW for Daprodustat to Treat Patients with Renal Anaemia due to Chronic Kidney Disease in Japan,Pharma,21/8/2019
BioInvent to Initiate P-I/IIa Study with BI-1206 in Combination with Merck's Keytruda (pembrolizumab) for Solid Tumors,Pharma,21/8/2019
Orexo Enters into an Agreement with GAIA to Develop and Commercialize Digital Therapy for Opioid Use Disorder?,DigiHealth,21/8/2019
Vivus Reports Results of Qsymia in Pilot Clinical Study for Patients with Laparoscopic Sleeve Gastrectomy Surgery,Pharma,21/8/2019
Pfizer to Invest $500M in State-of-the-Art Gene Therapy Facility in North Carolina,Biotech,22/8/2019
"Biocon Receives EU's GMP Certification for its Semglee (biosimilar, Insulin Glargine) Manufacturing Facility in Malaysia",Biosimilars|Regulatory,22/8/2019
Clarus Therapeutics' Jatenzo (Testosterone Undecanoate Capsules for Oral Use) (CIII) Receives FDA'S Approval for Testosterone Replacement Therapy in Certain Adult Men,Regulatory,27/3/2019
EMD Serono's Mavenclad (Cladribine) Receives FDA's Approval for RRMS and SPMS in Adults,Regulatory,29/3/2019
Johnson &amp; Johnson's Balversa (erdafitinib) Receives FDA's Approval for Locally Advanced or Metastatic Urothelial Carcinoma with Certain FGFR Genetic Alteration,Regulatory,2019-12-04
Amgen's Corlanor (ivabradine) Receives FDA's Approval to Reduce Risk of Hospitalization for Worsening Heart Failure in Patients with Chronic Heart Failure,Regulatory,15/4/2019
Bausch's Duobrii (Halobetasol Propionate and Tazarotene) Receives FDA's Approval for Topical Treatment of Plaque Psoriasis in Adults,Regulatory,25/4/2019
Janssen's Darzalex (daratumumab) Receives MHLW's Approval for Transplant Ineligible Patients with Multiple Myeloma in Japan,Pharma,22/8/2019
"Samsung Bioepis Eticovo's (etanercept-ykro, biosmilar) Receives FDA's Approval for All Eligible Indication",Regulatory,29/4/2019
Jacobus Pharmaceutical's Ruzurgi (amifampridine) Receives the US FDA's Approval for Lambert-Eaton myasthenic syndrome,Regulatory,2019-06-05
AstraZeneca Signs an Agreement with Sobi to Buy its Priority Review Voucher for $95M,Pharma,22/8/2019
Exeltis' Slynd Receives the US FDA's Approval for the Prevention of Pregnancy,Uncategorized,2019-06-06
Innovent Signs a License Agreement with Eli Lilly to Develop and Commercialize OXM3 in China,Pharma,22/8/2019
AstraZeneca and FibroGen's Roxadustat Receive NMPA's Approval for the Treatment of Anemia in Non-Dialysis-Dependent Patients with Chronic Kidney Disease in China,Regulatory,22/8/2019
"Palatin Technologies' Vyleesi (bremelanotide injection) Receives FDA's Approval for Premenopausal Women with Acquired, Generalized Hypoactive Sexual Desire Disorder",Regulatory,22/6/2019
MSD Signs an Exclusive License and Research Agreement with Themis Bioscience to Develop Vaccine Therapies,Biotech,23/8/2019
"Amgen and Allergan Report Results of ABP 798 (biosimilar, rituximab) in JASMINE Study for Non-Hodgkin's Lymphoma",Biosimilars,23/8/2019
Roche's Tecentriq (atezolizumab) Receives MHLW's Approval as the First Immunotherapy for Extensive-Stage Small Cell Lung Cancer in Japan,Regulatory,23/8/2019
Cantargia Extends Licensing Agreement with BioWa for its POTELLIGENT Technology,Biotech,23/8/2019
Novartis Signs an Option Agreement with Iconic Therapeutics for its Ophthalmology Program,Pharma,23/8/2019
OxThera's Oxabact Receives EMA's Positive Decision on Pediatric Investigational Plan to Treat Primary Hyperoxaluria,Regulatory,23/8/2019
Amgen to Acquire Celgene's Otezla (apremilast) for $13.4B,Pharma,26/8/2019
Miracor's PiCSO Impulse System Receives FDA's Breakthrough Device Designation for Treatment of Patients with STEMI,MedTech|Regulatory,26/8/2019
Zogenix to Acquire Modis Therapeutics for its MT1621,M&A,26/8/2019
Eli Lilly and Incyte Report Results of Olumiant (baricitinib) + Topical Corticosteroids in P-III BREEZE-AD7 Study for Moderate to Severe Atopic Dermatitis,Pharma,26/8/2019
Laminate Reports Results of VasQ External Support Device in a Clinical Study for Arteriovenous Fistulas in Hemodialysis Patients,MedTech,26/8/2019
Freenome Signs an Agreement with ADC Therapeutics to Develop Biomarker for its ADCT-402 (loncastuximab tesirine),MedTech,27/8/2019
Eli Lilly's Taltz (ixekizumab) Receives Third US FDA's Approval for Active Ankylosing Spondylitis (Radiographic Axial Spondyloarthritis)?,Regulatory,27/8/2019
Alcon's AcrySof IQ PanOptix Receives the US FDA's Approval as the First Trifocal Lens for Patients Undergoing Cataract Surgery in the US?,Regulatory,27/8/2019
Abbott Reports Positive Data of its Blood Test Technology Detecting Traumatic Brain Injury in Patients with Negative CT Scan,MedTech,27/8/2019
AstraZeneca's Farxiga Receives the US FDA's Fast Track Designation for Chronic Kidney Disease?,Regulatory,27/8/2019
GSK Exercises Its Option to License Ionis' Antisense Therapy for Chronic Hepatitis B Virus Infection,Biotech,27/8/2019
Everyday Health Group to Acquire Johnson and Johnson's BabyCenter a Global Digital Pregnancy and Parenting Resource,M&A,27/8/2019
BMS Signs a Research Collaboration with Presage to Evaluate Novel Cancer Therapies In Phase 0 Studies Utilizing CIVO Technology,Pharma,28/8/2019
Alexion's Soliris (eculizumab) Receives European Commission's Approval for Neuromyelitis Optica Spectrum Disorder?,Regulatory,28/8/2019
AstraZeneca Reports Results of Breztri Aerosphere in P-III ETHOS Study for Chronic Obstructive Pulmonary Disease,Pharma,28/8/2019
BMS's Triple Regimen Receives European Commission Approval for Relapse/Refractory Multiple Myeloma?,Regulatory,28/8/2019
AstraZeneca Receives the US FDA's Orphan Drug Designation for its First Respiratory Biologic Fasenra (benralizumab) to Treat Eosinophilic Esophagitis,Biotech|Regulatory,28/8/2019
Kyowa Kirin's Nourianz (istradefylline) Receives FDA's Approval as an Adjunctive Therapy in Patients with Parkinson's Disease,Pharma|Regulatory,28/8/2019
Janssen Collaborates with Arrowhead for the Initiation of REEF-1 P-IIB Study in Patients with Chronic Hepatitis B Infection,Pharma,28/8/2019
Celgene Signs an Option to License Agreement with Immatics to Develop Novel Adoptive Cell Therapies Targeting Multiple Cancers,Pharma,29/8/2019
Mitsubishi Tanabe Reports Initiation of P-III BouNDLess Trial in Patients with Fluctuating Parkinson's Disease,Pharma,29/8/2019
Roche's Tecentriq (atezolizumab) + Abraxane Receive European Commission's Approval for Patients with PD-L1-Positive Metastatic Triple-Negative Breast Cancer,Regulatory,29/8/2019
AstraZeneca Reports Results of Anifrolumab in P-III TULIP 2 Study for Patients with Systemic Lupus Erythematosus,Pharma,29/8/2019
Roche Reports Launch of First CDx VENTANA PD-L1 (SP142) Assay Identifying TNBC Patients Eligible for Treatment with Tecentriq (atezolizumab),MedTech,29/8/2019
AbbVie to Discontinue its P-III MERU Trial of Rovalpituzumab Tesirine (Rova-T) as 1L Maintenance Therapy for Patients with Advanced Small-Cell Lung Cancer,Pharma,29/8/2019
Novartis Reports Results of Ofatumumab (OMB157) in P-III ASCLEPIOS I and II Studies for Multiple Sclerosis,Biotech,30/8/2019
Sandoz Recalls Losartan Potassium and Ezetimibe Prescription Drug Bottles due to Packaging Issues?,Pharma,30/8/2019
Janssen Extends its Research and Licensing Agreement with SVI to Develop Therapies for Alzheimer's Disease,Pharma,30/8/2019
"Innovent Biologics Reports Results of IBI303 (biosimilar, adalimumab) in P-III Studies for Ankylosing Spondylitis?",Biosimilars,30/8/2019
Celltrion and Teva Report Results Updated Results of CT-P6 in P-III Study for Patients Receiving Neoadjuvant Treatment for HER2-Positive Early Breast Cancer,Biosimilars,21/8/2019
United Healthcare to Prefer Amgen's Two Anticancer Biosimilars in October 2019,Biosimilars,16/8/2019
Philips Collaborates with LindaCare for the Remote Monitoring of Patients with Cardiac Implantable Electronic Devices,DigiHealth,30/8/2019
Paratek Reports Results of Nuzyra (omadacycline) in P-III OASIS-2 Study for Skin Infections,Pharma,30/8/2019
Roche Reports Positive Results of Xofluza (baloxavir marboxil) in Two P-III MINISTONE-2 and BLOCKSTONE Studies for Influenza Infection,Pharma,2019-02-09
Novartis Reports Results of Entresto (sacubitril/valsartan) in Three P-III PARAGON-HF and P-IV PROVE-HF with EVALUATE-HF Studies for Patients with HFpEF and HFrEF,Pharma,2019-02-09
UniSA Evaluates Computer Vision Technology to Monitor Premature Babies in Neonatal Units,MedTech,2019-02-09
AstraZeneca Reports Results of Brilinta (ticagrelor) in P-III THEMIS Study for Coronary Artery Disease and Type-2 Diabetes,Pharma,2019-02-09
Chugai Files an Application to MHLW for an Additional Indication of Kadcyla (trastuzumab emtansine) as an Adjuvant Therapy for HER2-Positive Early Breast Cancer in Japan,Biotech,2019-02-09
AstraZeneca Reports Detailed Results of Farxiga (dapagliflozin) in P-III DAPA-HF Study to Treat Patients with Heart Failure?,Pharma,2019-02-09
Helsinn Enters into an Exclusive Distribution and License Agreement with Blanver and Varifarma for Pracinostat in South America,Pharma,2019-03-09
"Federal Circuit to Dismiss Halt Sales of Amgen's Mvasi (biosimilar, bevacizumab-awws) in the US",Biosimilars,16/8/2019
Polpharma Signs an Exclusive Worldwide Commercialization Agreement with Sandoz for Proposed Biosimilar Natalizumab to Treat Relapsing-Remitting Multiple Sclerosis,Biosimilars,2019-03-09
The European Society of Cardiology Recommends Bayer's Xarelto (rivaroxaban) in Combination with Aspirin for the Management of Diabetes and Chronic Coronary Syndromes,Pharma,2019-03-09
Boehringer Ingelheim and Zealand Pharma to Initiate P-II Study of BI 456906 for Obesity and Diabetes,Pharma,2019-03-09
Alytas Therapeutics Signs an Agreement with Velabs Therapeutics to Develop Novel Immune-Based Therapy for Obesity,Pharma,2019-03-09
Vertex to Acquire Semma Therapeutics for Developing Curative Cell-Based Therapies to Treat Type 1 Diabetes,M&A,2019-03-09
"Celltrion Enters into a Contract to Manufacture Agreement for its Remsima (biosimilar, infliximab) with Lonza?",Biosimilars,2019-04-09
"STADA to Launch its Movymia (biosimilar, teriparatide) to Treat Osteoporosis in 24 Countries",Biosimilars,20/8/2019
AstraZeneca's Tagrisso (osimertinib) Receives NMPA's Approval as a 1L Therapy for EGFR-Mutated Non-Small Cell Lung Cancer in China?,Regulatory,2019-04-09
Boehringer Ingelheim Enters into a Licensing Agreement with Lupin to Expand its KRAS Cancer Program,Pharma,2019-04-09
Karolinska Institutet Evaluates AsthmaTuner Self-monitoring Mobile App for Managing Uncontrolled Asthma?,DigiHealth,2019-04-09
Merck's Keytruda (pembrolizumab) in Combination with Inlyta (axitinib) Receives European Commission's Approval as a 1L Therapy for Advanced Renal Cell Carcinoma,Regulatory,2019-04-09
Janssen's Investigational Prophylactic Vaccine Receives the US FDA's Breakthrough Therapy Designation to Prevent Respiratory Syncytial Virus,Regulatory,2019-04-09
BMS Signs an Agreement with BioMotiv to Develop Therapies for Patients with Serious Disorder,Pharma,2019-04-09
Regenxbio Signs an Exclusive Worldwide Option and License Agreement with Clearside Biomedical to Evaluate its Delivery Platform for RGX-314,Pharma,2019-04-09
Mylan to Make Amendments in its 2018 License Agreement with Revance for Biosimilar of BOTOX,Biosimilars,22/8/2019
"Samsung Bioepis Initiates Recruitment of Patients in P-III Study for SB12 (biosimilar, eculizumab) to Treat Paroxysmal Nocturnal Hemoglobinuria (PNH) in India",Biosimilars,16/8/2019
Conglomerate of Rheumatology and Spondylitis Organizations Released New Updated Guidelines Against Mandatory Switching to Biosimilars,Biosimilars,22/8/2019
AstraZeneca Collaborates with Schrödinger to Utilize its Molecule-Modeling Platform for Drug Discovery,Pharma,2019-05-09
Google Collaborates with Cochlear and GN Hearing to Support Direct Phone Streaming to Hearing Aids for Patients with Hearing Loss,MedTech,2019-05-09
BioNTech Signs an Agreement with Gates Foundation to Develop Therapies for HIV and Tuberculosis,Biotech,2019-05-09
Janssen's Stelara (ustekinumab) Receives EC's Approval for its Expanded Use to Treat Moderately to Severely Active Ulcerative Colitis,Regulatory,2019-05-09
AbbVie Signs a Research Agreement with Idera Pharmaceuticals to Evaluate Combination Therapy,Pharma,2019-05-09
Novartis Signs an Exclusive Research and Option to Acquire Agreement with IFM Due to Develop Therapies Targeting cGAS/STING Pathway,Pharma,2019-05-09
Takeda Recalls Natpara (parathyroid hormone) Injection Formulation in the US,Biotech,2019-06-09
AstraZeneca Signs a License Agreement with Theragnostics for its PARP Inhibitor,Pharma,2019-06-09
SpeeDx's ResistancePlus MG FleXible Receives CE-IVD Clearance for Detection of Sexually Transmitted Infection (STI),MedTech|Regulatory,2019-06-09
BMS Reports Results of Opdivo (nivolumab) in P-III CheckMate-548 Study for Patients Newly Diagnosed with MGMT-Methylated Glioblastoma Multiforme,Pharma,2019-06-09
Roche's Tecentriq Based Combination Therapy Receives EC's Approval as 1L Treatment for Non-Squamous Non-Small Cell Lung Cancer,Regulatory,2019-06-09
OncoCyte to Acquire Razor Genomics for the Expansion of its Capabilities in Early-Stage Lung Cancer,M&A,2019-06-09
Roche's Tecentriq + Chemotherapy Receives EC's Approval as 1L Treatment for Extensive Stage Small Cell Lung Cancer,Regulatory,2019-06-09
Sumitomo Dainippon and Roivant Signs a Memorandum of Understanding to Form $3B Alliance,Pharma,2019-09-09
Eli Lilly Signs an Agreement with Thermo Fisher to Develop CDx for its Selpercatinib (LOXO-292),MedTech,2019-09-09
AstraZeneca Reports Results of Imfinzi (durvalumab) in P-III CASPIAN Study for 1L Extensive-Stage Small Cell Lung Cancer,Biotech,2019-09-09
Abbott to Initiate World's First Study to Evaluate its TriClip Transcatheter Tricuspid Valve Repair System in the US?,MedTech,2019-09-09
Allergan and Molecular Partners Report Acceptance of FDA's BLA and Validation of EMA's MAA for Abicipar Pegol,Regulatory,2019-09-09
Genmab Signs an Agreement with Tempus to Develop Novel Targets and Biomarkers for Cancer Indications,MedTech,2019-10-09
Alexion Enters into an Exclusive License Agreement with Eidos to Develop and Commercialize AG10 in Japan,Pharma,2019-10-09
Medtronic's MiniMed 670G Insulin Pump System Receives Reimbursement for Patients with T1D in Germany,MedTech,2019-10-09
BMS Reports Pooled Five Year Results of Opdivo (nivolumab) in Two P-III Studies for Advanced Non-Small Cell Lung Cancer,Pharma,2019-10-09
Mallinckrodt to Divest its Subsidiary BioVectra for $250M?,M&A,2019-10-09
Baxter to Acquire Cheetah Medical for ~$230M,M&A,2019-10-09
Sanofi Terminates its Four Years Alliance with Lexicon for Zynquista (sotagliflozin)?,Pharma,2019-11-09
Xeris' GVOKE (glucagon) Receives FDA's Approval as The First Ready-To-Use Stable Liquid Glucagon for Severe Hypoglycemia,Biotech,2019-11-09
Google Collaborates with Mayo Clinic for Healthcare Innovation Utilizing AI and Cloud Computing?,DigiHealth,2019-11-09
"Samsung Bioepis Reports the Availability of Brenzys (biosimilar, etanercept) in Brazil",Biosimilars,2019-11-09
Merck KGaA's Tepotinib Receives FDA's Breakthrough Therapy Designation for Metastatic NSCLC with METex14 Skipping Alterations,Regulatory,2019-11-09
Apple to Launch a Research App for Three Medical Studies Monitoring Health Issues,DigiHealth,2019-11-09
GSK to Acquire Sitari Pharmaceuticals for its Celiac Diseases Program,M&A,2019-12-09
"Teva Canada's Herzuma (biosimilar, trastuzumab) Receives Health Canada Approval for Multiple Cancer Indications?",Biosimilars|Regulatory,2019-12-09
Roche Reports Results of Satralizumab in Second P-III Study for Neuromyelitis Optica Spectrum Disorder,Pharma,2019-12-09
Zentiva to Acquire Sanofi's Ankleshwar Manufacturing Facility in India,M&A,2019-12-09
Janssen Reports Results of Ponesimod in P-III OPTIMUM Study for Relapsing Multiple Sclerosis in Adults,Pharma,2019-12-09
Hansoh Enters into a Collaboration with Atomwise for AI-Based Drug Discovery,Pharma,2019-12-09
Vertex Signs an Access Agreement with Scottish Government for Orkambi (lumacaftor/ivacaftor) and Symkevi (tezacaftor/ivacaftor),Pharma,2019-12-09
Aytu BioScience to Acquire Innovus Pharmaceuticals for ~$24M,M&A,13/9/2019
Roche Reports Results of Perjeta (pertuzumab) Fixed Dose SC Combination Therapy in P-III FeDeriCa Study for HER2+ve Breast Cancer,Pharma,13/9/2019
GSK's Nucala (mepolizumab) Receives the US FDA's Approval as First Biologic for Severe Eosinophilic Asthma in Children Aged 6-11yrs.,Regulatory,13/9/2019
Celgene Reports Results of CC-486 in P-III QUAZAR AML-001 Study as Maintenance Therapy for Acute Myeloid Leukemia,Pharma,13/9/2019
GE Healthcare's Critical Care Suite AI-Powered X-ray Device Receives FDA's 510(k) Clearance to Identify Pneumothorax,MedTech,13/9/2019
Eisai And Biogen to Terminate Two P-III Clinical Studies of Elenbecestat (E2609) for Early Alzheimer's Disease?,Pharma,13/9/2019
Lundbeck to Acquire Alder BioPharmaceuticals for $1.95B,M&A,16/9/2019
Sanofi and Abbott Collaborate to Assimilate Glucose Sensing and Insulin Delivery Technologies to Manage Diabetes,DigiHealth,16/9/2019
Medtronic and Novo Nordisk Collaborate to Deliver Integrated Digital Solutions Easing the Hassles of Diabetes Management,MedTech,16/9/2019
AstraZeneca's Farxiga (dapagliflozin) Receives FDA's Fast Track Designation to Treat Patients with Heart Failure,Regulatory,16/9/2019
Boehringer Ingelheim Signs an Exclusive Worldwide License Agreement with Oncoheroes Biosciences for Volasertib,Pharma,16/9/2019
Janssen Reports Submission of sBLA to the US FDA for Tremfya (guselkumab) to Treat Active Psoriatic Arthritis,Biotech|Regulatory,17/9/2019
Seattle Genetics and Astellas Report Acceptance of BLA for Enfortumab Vedotin to Treat Locally Advanced or Metastatic Urothelial Cancer?,Biotech|Regulatory,17/9/2019
Medtronic's Envision Pro Continuous Glucose Monitoring System Receives CE Mark in Europe,MedTech,17/9/2019
Acceleron to Discontinue its P-II Study of ACE-083 for Facioscapulohumeral Muscular Dystrophy?,Pharma,17/9/2019
Glenmark's GBR 1342 Receives the US FDA's Orphan Drug Designation for Multiple Myeloma,Regulatory,17/9/2019
Merck Reports Acceptance of BLA to the US FDA for V920 Ebola Virus Vaccine,Regulatory,17/9/2019
Bayer Signs a License Agreement with Informed Data Systems to Utilize its One Drop Digital Therapeutics Platform,DigiHealth,17/9/2019
Mylan Launches Generic Faslodex Injection for the Expansion of its Oncology Portfolio in the US,Pharma,18/9/2019
Generium Launches First Biosimilar of Dornase Alfa Utilizing Selexis' SUREtechnology Platform?,Biosimilars,18/9/2019
AstraZeneca Amends its Development and Commercialization Agreement with Ironwood for Linzess (linaclotide) Signed in 2012 ?,Pharma,18/9/2019
Roche's Gazyva (obinutuzumab) Receives FDA's Breakthrough Therapy Designation for Lupus Nephritis,Regulatory,18/9/2019
Regeneron and Sanofi Launch Educational Campaign Focusing on Patients Living with Moderate-To-Severe Atopic Dermatitis,Pharma,18/9/2019
The US FDA Initiates its First Step Towards Project Orbis for Concurrent Review of Cancer Therapies,Regulatory,18/9/2019
Merck's Keytruda (pembrolizumab) + Eisai's Lenvima (lenvatinib) Receives FDA's Approval for Certain Types of Endometrial Carcinoma?,Regulatory,18/9/2019
Novigenix Collaborates with BioLizard to Develop AI-Based Diagnostic Algorithm for Detecting Colon Cancer,MedTech,19/9/2019
Roche Renews its Support to the Phelophepa Healthcare Trains in South Africa Marking the 25th Anniversary,Pharma,19/9/2019
Novartis Reports Results of Galvus (vildagliptin) Combination Therapy in P-IV VERIFY Study for Type 2 Diabetes Mellitus?,Pharma,19/9/2019
Biogen to Initiate P-II/III DEVOTE Study Evaluating the Higher Doses of Spinraza (nusinersen) for Spinal Muscular Atrophy,Pharma,19/9/2019
TB Alliance's Pretomanid Combination Therapy Receives the US FDA's Approval for Highly Drug-Resistant Forms of Tuberculosis,Regulatory,15/8/2019
Harmony Biosciences' Wakix (pitolisant) Receives the US FDA's Approval for Treatment of Excessive Daytime Sleepiness in Adult Patients with Narcolepsy,Regulatory,15/8/2019
Novo Nordisk Reports Results of Tresiba (insulin degludec) in CONCLUDE Study for Type 2 Diabetes,Biotech,19/9/2019
Novartis Reports the Reimbursement of Kisqali as 1L Treatment for Metastatic Breast Cancer in Quebec,Pharma,19/9/2019
Merck KGaA Signs a License Agreement with Y-Trap to Develop Antibody-Ligand Traps for Immuno-Oncology,Biotech,20/9/2019
Roche's cobas Babesia Blood Test Receives the US FDA's Approval for Donor Screening,MedTech|Regulatory,20/9/2019
Takeda and Lundbeck's Trintellix (vortioxetine) Receives MHLW's Approval for Major Depressive Disorder in Japan?,Regulatory,20/9/2019
Eli Lilly's Trulicity (dulaglutide) Receives CHMP Recommendation for Label Update to Include Results from REWIND Study,Regulatory,20/9/2019
Astellas and FibroGen's Evrenzo (roxadustat) Receives MHLW's Approval for Anemia Associated with Chronic Kidney Disease in Dialysis Patients,Regulatory,20/9/2019
Boehringer Ingelheim Enters into an Agreement with Inflammasome Therapeutics to Co-Develop Therapies for Retinal Diseases,Pharma,20/9/2019
"PharmaShots Weekly Snapshot (September 16– 20, 2019)",Weekly Snapshot,23/9/2019
AstraZeneca's Qtrilmet Receives CHMP's Recommendation for its Approval to Treat Patients with Type-2 Diabetes in Europe,Regulatory,23/9/2019
Novo Nordisk's Rybelsus (semaglutide) Receives FDA's Approval as the First Oral GLP-1 analog for Type 2 Diabetes,Regulatory,23/9/2019
Clovis Oncology Signs a License Agreement with 3B Pharmaceuticals for FAP-Targeted Radiopharmaceutical Program,Pharma,23/9/2019
Biogen's Plegridy (peginterferon beta-1a) and Avonex (interferon beta-1a) Receive CHMP's Positive Opinion to Use During Pregnancy and Breastfeeding?,Regulatory,23/9/2019
Mallinckrodt Reports Results of StrataGraft Regenerative Tissue in P-III STRATA2016 Study for Deep Partial-thickness Thermal Burns?,Biotech,23/9/2019
"Celltrion's CT-P13 (biosimilar, infliximab) Receives CHMP's Positive Opinion for its SC Formulation to Treat Rheumatoid Arthritis?",Biosimilars,23/9/2019
MSD Collaborates with I-Mab to Evaluate Keytruda + TJC4 for Multiple Cancer Indications,Pharma,24/9/2019
Bayer's Vitrakvi (larotrectinib) Receives EMA's Approval as the First Tumor Agonist in Europe?,Regulatory,24/9/2019
Sandoz Voluntary Recalls Ranitidine Hydrochloride Capsules Due to Elevated Amount of N-Nitrosodimethylamine in the US,Pharma,24/9/2019
Bayer Collaborate with Women's Hospital and Massachusetts General Hospital to Launch Joint Lab Targeting Chronic Lung Diseases,Pharma,24/9/2019
Takeda Collaborates with Evotec to Discover Clinical Candidates for Multiple Therapeutic Areas,Pharma,24/9/2019
BMS' Opdivo (nivolumab) Receives CHMP Recommendation for Approval of its Four-Week Dosing Schedule?,Regulatory,24/9/2019
Aldeyra's ADX-2191 Receives FDA's Fast Track Designation to Prevent Proliferative Vitreoretinopathy,Regulatory,24/9/2019
Biocon Biologics Acquires Pfizer's Research Facility to Expand its Research and Development Footprint,Biotech|M&A,25/9/2019
Pfizer Expands its Collaboration with Flatiron Health to Integrate the Use of Real-World Evidence in Oncology,Pharma,25/9/2019
Amgen Reports Results of Blincyto (blinatumomab) in Two P-III Studies for Relapsed Acute Lymphoblastic Leukemia in Pediatric Patients?,Pharma,25/9/2019
Bavarian Nordic's Jynneos Vaccine Receives FDA's Approval to Prevent Smallpox and Monkeypox Disease in Adults,Regulatory,25/9/2019
Achillion's Danicopan (ACH-4471) Receives FDA's Breakthrough Therapy Designation for Paroxysmal Nocturnal Hemoglobinuria,Regulatory,25/9/2019
Ethicon Launches Echelon Circular as the First Powered Circular Stapler for Colorectal Gastric and Thoracic Surgery?,MedTech,25/9/2019
Takeda Reports Results of Vedolizumab in its First Head-to-Head Biologic Study for Ulcerative Colitis,Biotech,26/9/2019
Abbott's ARCHITECT STAT High Sensitivity Troponin-I Blood Test Receives FDA Clearance to Detect Heart Attacks Faster and Accurately,MedTech,26/9/2019
Thermo Fisher to Expand its Clinical Trials Capabilities and Collaborates with Frontier to Develop Therapy for HIV,Pharma,26/9/2019
Jazz Reports Results of JZP-258 in a P-III Study to Treat Cataplexy and Excessive Daytime Sleepiness in Patients with Narcolepsy,Pharma,26/9/2019
AstraZeneca and Innate Pharma to Advance Monalizumab in a P-III Study for Head and Neck Cancer,Biotech,26/9/2019
Medtronic to Initiate Clinical Study Evaluating Infuse Bone Graft in TLIF Spine Procedures,MedTech,26/9/2019
AbbVie's Mavyret (glecaprevir/pibrentasvir) Receives FDA's Approval for its Expanded Indication in Treatment-Naïve Patients with Chronic Hepatitis C and Compensated Cirrhosis Across All Genotypes,Regulatory,27/9/2019
Janssen's Darzalex (daratumumab) Combination Therapy Receives FDA's Approval for Frontline Multiple Myeloma?,Regulatory,27/9/2019
Medtronic Reports Results of Resolute Onyx DES in Onyx ONE Global Study for High-Bleeding Risk Patients with One-Month DAPT ?,MedTech,27/9/2019
Ieso Launches Eight Billion Minds Digital Initiative Addressing Unmet Mental Health Needs,DigiHealth,27/9/2019
Simcere Signs an Exclusive License Agreement with JW Pharmaceutical for an Anti-Gout Drug Candidate URC-102 in China?,Pharma,27/9/2019
Pfizer Reports Results of Abrocitinib in P-III JADE MONO-2 Study for Moderate to Severe Atopic Dermatitis,Uncategorized,27/9/2019
Incyte Reports Updated Results of Pemigatinib in P-II FIGHT-202 Trial for Patients with Previously Treated Advanced Cholangiocarcinoma,Pharma,27/9/2019
Sobi to Acquire Dova Pharmaceuticals for $915M?,M&A,30/9/2019
Roche's Rituxan (rituximab) Receives the US FDA's Approval for Two Rare Blood Vessel Disorders in Pediatric Patients Aged 2yrs. and Above?,Regulatory,30/9/2019
GSK Reports Results of Nucala (mepolizumab) in REALITI-A Study for Severe Eosinophilic Asthma?,Biotech,30/9/2019
Merck Reports Results of Recarbrio (imipenem/cilastatin/relebactam) in P-III RESTORE-IMI 2 Study for Patients with HABP/VABP,Pharma,30/9/2019
Celltrion Signs an Exclusive Co-Marketing Agreement with Juno in Australia,Biosimilars,30/9/2019
Fresenius Kabi to Establish R&amp;D Center for Biosimilars in Switzerland,Biosimilars,18/9/2019
Vertex Collaborates with Ribometrix to Discover and Develop up to Three RNA Targeted Candidates,Pharma,30/9/2019
Mochida Receives Marketing Authorization for Teriparatide Biosimilar in Japan,Biosimilars,20/9/2019
SymBio Signs Worldwide Exclusive License Agreement with Chimerix to Develop and Commercialize Brincidofovir,Pharma,2019-01-10
"Dr. Reddy Plans the Onset of P-III trial for DRL_RI (biosimilar, rituximab) in the Korea",Biosimilars,17/9/2019
AstraZeneca to Divest Worldwide Commercialization Rights of Losec (omeprazole) to Cheplapharm,Pharma,2019-01-10
Janssen's Invokana (canagliflozin) Receives the US FDA's Approval for Patients with Type 2 Diabetes and Diabetic Kidney Disease ?,Regulatory,2019-01-10
Roche Reports Result of Tecentriq (atezolizumab) + Platinum-Based CT in P-III IMvigor130 Study for Advanced Bladder Cancer,Biotech,2019-01-10
"Pfizer to Launch its Zirabev (biosimilar, bevacizumab) in the US by the year end 2019",Biosimilars,2019-01-10
Taisho Signs an Exclusive License Agreement with Moberg Pharma to Develop and Commercialize MOB-015 in Japan?,Pharma,2019-01-10
Eisai Signs a Research and Option Agreement with Numab to Discover and Develop Multi-Specific Antibody Immunotherapies for Cancer?,Biotech,2019-01-10
Novartis Signs a Multiyear Agreement with Microsoft to Transform Medicine with the Launch of AI Innovation Lab,DigiHealth,2019-03-10
"Biocon and Mylan Launch Semglee (biosimilar, Insulin Glargine) in Australia",Biosimilars,2019-03-10
Philips Collaborates with Air Ambulance Kent Surrey Sussex to Provide Emergency Services in the UK,Pharma,2019-03-10
Eli Lilly Reports Results of Taltz (ixekizumab) in Head-to-Head P-IV IXORA-R Study for Moderate to Severe Plaque Psoriasis,Biotech,2019-03-10
Merck's Keytruda Receives NMPA's Approval as Monotherapy for 1L Treatment of Advanced Non-Small Cell Lung Cancer with PD-L1 Tumor Expression in China?,Regulatory,2019-03-10
